"","Gene","Type","LongName"
"1",1,"XA","1436799_at"
"2",2,"XA","1436227_at"
"3",3,"XA","1420504_at"
"4",4,"XA","1417945_at"
"5",5,"XA","1420337_at"
"6",6,"XA","1439944_at"
"7",7,"XA","1452004_at"
"8",8,"XA","1430368_s_at"
"9",9,"XA","1436948_a_at"
"10",10,"XA","1439766_x_at"
"11",11,"XA","1455901_at"
"12",12,"XA","1437467_at"
"13",13,"XA","1419417_at"
"14",14,"XA","1443437_at"
"15",15,"XA","1431632_at"
"16",16,"XA","1441269_at"
"17",17,"XA","1447845_s_at"
"18",18,"XA","1434046_at"
"19",19,"XA","1436419_a_at"
"20",20,"XA","1418990_at"
"21",21,"XA","1421100_a_at"
"22",22,"XA","1429802_at"
"23",23,"XA","1432227_at"
"24",24,"XA","1438097_at"
"25",25,"XA","1434423_at"
"26",26,"XA","1426300_at"
"27",27,"XA","1438413_at"
"28",28,"XA","1438511_a_at"
"29",29,"XA","1421811_at"
"30",30,"XA","1439427_at"
"31",31,"XA","1419665_a_at"
"32",32,"XA","1418486_at"
"33",33,"XA","1429525_s_at"
"34",34,"XA","1450194_a_at"
"35",35,"XA","1415983_at"
"36",36,"XA","1423323_at"
"37",37,"XA","1428653_x_at"
"38",38,"XA","1440739_at"
"39",39,"XA","1416157_at"
"40",40,"XA","1417962_s_at"
"41",41,"XA","1419401_at"
"42",42,"XA","1455169_at"
"43",43,"XA","1417122_at"
"44",44,"XA","1431416_a_at"
"45",45,"XA","1458716_at"
"46",46,"XA","1450684_at"
"47",47,"XA","1424797_a_at"
"48",48,"XA","1456228_x_at"
"49",49,"XA","1427277_at"
"50",50,"XA","1460187_at"
"51",51,"XA","1455978_a_at"
"52",52,"XA","1448022_at"
"53",53,"XA","1417022_at"
"54",54,"XA","1416418_at"
"55",55,"XA","AFFX-18SRNAMur/X00686_5_at"
"56",56,"XA","1435866_s_at"
"57",57,"XA","1456942_x_at"
"58",58,"XA","1436568_at"
"59",59,"XA","1456219_at"
"60",60,"XA","1430596_s_at"
"61",61,"XA","1421496_at"
"62",62,"XA","1431633_x_at"
"63",63,"XA","1439746_at"
"64",64,"XA","AFFX-18SRNAMur/X00686_M_at"
"65",65,"XA","1415938_at"
"66",66,"XA","1456574_at"
"67",67,"XA","1452655_at"
"68",68,"XA","1455299_at"
"69",69,"XA","1451620_at"
"70",70,"XA","1454604_s_at"
"71",71,"XB","1422458_at"
"72",72,"XB","1429338_a_at"
"73",73,"XB","1437171_x_at"
"74",74,"XB","1416613_at"
"75",75,"XB","1420821_at"
"76",76,"XB","1441667_s_at"
"77",77,"XB","1418395_at"
"78",78,"XB","1423952_a_at"
"79",79,"XB","1449154_at"
"80",80,"XB","1455817_x_at"
"81",81,"XB","1428414_at"
"82",82,"XB","1435436_at"
"83",83,"XB","1426538_a_at"
"84",84,"XB","1429932_at"
"85",85,"XB","1438861_at"
"86",86,"XB","1423350_at"
"87",87,"XB","1416348_at"
"88",88,"XB","1438664_at"
"89",89,"XB","1438069_a_at"
"90",90,"XB","1422057_at"
"91",91,"XB","1441444_at"
"92",92,"XB","1454106_a_at"
"93",93,"XB","1451347_at"
"94",94,"XB","1456250_x_at"
"95",95,"XB","1444646_at"
"96",96,"XB","1422659_at"
"97",97,"XB","1437466_at"
"98",98,"XB","1437588_at"
"99",99,"XB","1459718_x_at"
"100",100,"XB","1420310_at"
"101",101,"XB","1436291_a_at"
"102",102,"XB","1452163_at"
"103",103,"XB","1429065_at"
"104",104,"XB","1438133_a_at"
"105",105,"XB","1417956_at"
"106",106,"XB","1439006_x_at"
"107",107,"XB","1450700_at"
"108",108,"XB","1434286_at"
"109",109,"XB","1418723_at"
"110",110,"XB","1415871_at"
"111",111,"XB","1438333_at"
"112",112,"XB","1423824_at"
"113",113,"XB","1447678_at"
"114",114,"XB","1440857_at"
"115",115,"XB","1430162_at"
"116",116,"XB","1439665_at"
"117",117,"XB","1448649_at"
"118",118,"XB","1456312_x_at"
"119",119,"XB","1434291_a_at"
"120",120,"XB","1422607_at"
"121",121,"XB","1456475_s_at"
"122",122,"XB","1432004_a_at"
"123",123,"XB","1427385_s_at"
"124",124,"XB","1418756_at"
"125",125,"XB","1416516_at"
"126",126,"XB","1444270_at"
"127",127,"XB","1429524_at"
"128",128,"XB","1451416_a_at"
"129",129,"XB","1451857_a_at"
"130",130,"XB","1429905_at"
"131",131,"XC","1439059_at"
"132",132,"XC","1433532_a_at"
"133",133,"XC","1458347_s_at"
"134",134,"XC","1417638_at"
"135",135,"XC","1435397_at"
"136",136,"XC","1416488_at"
"137",137,"XC","1422396_s_at"
"138",138,"XC","1449408_at"
"139",139,"XC","1421317_x_at"
"140",140,"XC","1451927_a_at"
"141",141,"XC","1438661_a_at"
"142",142,"XC","1434848_at"
"143",143,"XC","1434129_s_at"
"144",144,"XC","1437463_x_at"
"145",145,"XC","1421313_s_at"
"146",146,"XC","1434745_at"
"147",147,"XC","1427770_a_at"
"148",148,"XC","1436213_a_at"
"149",149,"XC","1437152_at"
"150",150,"XC","1449898_at"
"151",151,"XC","1426530_a_at"
"152",152,"XC","1416444_at"
"153",153,"XC","1456379_x_at"
"154",154,"XC","1436736_x_at"
"155",155,"XC","1421141_a_at"
"156",156,"XC","1427483_at"
"157",157,"XC","1453593_at"
"158",158,"XC","1438883_at"
"159",159,"XC","1437435_at"
"160",160,"XC","1447854_s_at"
"161",161,"XC","1415855_at"
"162",162,"XC","1427482_a_at"
"163",163,"XC","1435595_at"
"164",164,"XC","1449146_at"
"165",165,"XC","1430640_a_at"
"166",166,"XC","1427408_a_at"
"167",167,"XC","1451849_a_at"
"168",168,"XC","1439906_at"
"169",169,"XC","1435222_at"
"170",170,"XC","1424443_at"
"171",171,"XC","1436970_a_at"
"172",172,"XC","1417760_at"
"173",173,"XC","1438824_at"
"174",174,"XC","1455057_at"
"175",175,"XC","1420901_a_at"
"176",176,"XC","1450082_s_at"
"177",177,"XC","1457079_at"
"178",178,"XC","1448123_s_at"
"179",179,"XC","1449231_at"
"180",180,"XC","1435400_at"
"181",181,"XC","1452448_at"
"182",182,"XC","1453139_at"
"183",183,"XC","1451809_s_at"
"184",184,"XC","1460295_s_at"
"185",185,"XC","1418664_at"
"186",186,"XC","1435618_at"
"187",187,"XC","1434636_at"
"188",188,"XC","1426858_at"
"189",189,"XC","1425356_at"
"190",190,"XC","1420998_at"
"191",191,"XC","1420042_at"
"192",192,"XC","1421924_at"
"193",193,"XC","1447623_s_at"
"194",194,"XC","1417752_at"
"195",195,"XC","1453351_at"
"196",196,"XC","1420975_at"
"197",197,"XC","1459973_x_at"
"198",198,"XC","1436959_x_at"
"199",199,"XC","1427481_a_at"
"200",200,"XC","1426911_at"
